exp,short,long,credit,max_loss,breakeven,prob,days
2024-10-18,25.0,30.0,0.0,5.0,25.0,2.4406251663929996,5
2024-10-18,30.0,35.0,0.0,5.0,30.0,2.5308337958182436,5
2024-10-18,35.0,40.0,0.0,5.0,35.0,2.5935540969046613,5
2024-10-18,40.0,45.0,0.0,5.0,40.0,2.6656356146040285,5
2024-10-18,45.0,50.0,0.0,5.0,45.0,2.749344211612244,5
2024-10-18,50.0,55.0,0.0,5.0,50.0,2.8158810217154557,5
2024-10-18,55.0,60.0,0.0,5.0,55.0,2.874913552766569,5
2024-10-18,60.0,65.0,0.0,5.0,60.0,2.8776206067139043,5
2024-10-18,65.0,70.0,0.0,5.0,65.0,2.9277623676978246,5
2024-10-18,70.0,75.0,0.0,5.0,70.0,2.9843394128797236,5
2024-10-18,75.0,80.0,0.0,5.0,75.0,3.025526774545602,5
2024-10-18,80.0,85.0,0.0,5.0,80.0,3.135586196928431,5
2024-10-18,85.0,90.0,0.0,5.0,85.0,3.1934981716098028,5
2024-10-18,90.0,95.0,0.0,5.0,90.0,3.228183993970478,5
2024-10-18,95.0,100.0,0.0,5.0,95.0,3.266950482111581,5
2024-10-18,100.0,105.0,0.0,5.0,100.0,3.3105655549848088,5
2024-10-18,105.0,110.0,0.0,5.0,105.0,3.265596519411814,5
2024-10-18,110.0,115.0,-0.01,5.01,110.01,3.218206988905947,5
2024-10-18,115.0,120.0,0.0,5.0,115.0,3.2249406782076626,5
2024-10-18,120.0,125.0,-0.009999999999999998,5.01,120.01,3.2068744955065274,5
2024-10-18,125.0,130.0,-0.010000000000000002,5.01,125.01,3.182309763086467,5
2024-10-18,130.0,135.0,0.010000000000000002,4.99,129.99,3.172005424745913,5
2024-10-18,135.0,140.0,-0.010000000000000002,5.01,135.01,3.1708104678309113,5
2024-10-18,140.0,145.0,-0.019999999999999997,5.02,140.02,3.1577543429985515,5
2024-10-18,145.0,150.0,0.009999999999999995,4.99,144.99,3.1601045768615226,5
2024-10-18,150.0,155.0,-0.020000000000000004,5.02,150.02,3.137146737281585,5
2024-10-18,155.0,160.0,-0.009999999999999995,5.01,155.01,3.100145918026112,5
2024-10-18,160.0,165.0,-0.03,5.03,160.03,3.0701341387731387,5
2024-10-18,165.0,170.0,-0.020000000000000004,5.02,165.02,3.030819746359929,5
2024-10-18,170.0,175.0,-0.01999999999999999,5.02,170.02,2.9807317119830037,5
2024-10-18,175.0,180.0,-0.05000000000000002,5.05,175.05,2.9251924870864556,5
2024-10-18,180.0,185.0,-0.06,5.06,180.06,2.8465505673014855,5
2024-10-18,185.0,190.0,-0.08999999999999997,5.09,185.09,2.732315473138852,5
2024-10-18,190.0,195.0,-0.21000000000000008,5.21,190.21,2.5709279798131544,5
2024-10-18,195.0,200.0,-0.3799999999999999,5.38,195.38,2.357874247091586,5
2024-10-18,200.0,205.0,-0.6800000000000002,5.68,200.68,2.0879318318539926,5
2024-10-18,205.0,210.0,-1.1799999999999997,6.18,206.18,1.7619248101966245,5
2024-10-18,210.0,215.0,-1.75,6.75,211.75,1.404036329173128,5
2024-10-18,215.0,217.5,-1.2199999999999998,3.7199999999999998,216.22,1.106490790893472,5
2024-10-18,217.5,220.0,-1.3100000000000005,3.8100000000000005,218.81,0.9317697022804661,5
2024-10-18,220.0,222.5,-1.6199999999999992,4.119999999999999,221.62,0.742859203916502,5
2024-10-25,75.0,80.0,-0.019999999999999997,5.02,75.02,2.944456191527026,12
2024-10-25,80.0,85.0,0.009999999999999998,4.99,79.99,2.8381555079476763,12
